,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER
92,Python,R,,,,,,,,,,,
93,Python,,,,,,,,,,,,
94,Python,,SQL,,C++,,Javascript,,,,MATLAB,,
95,Python,,,,,,Javascript,,,,,,
96,,,,,,,,,,,,,
97,Python,,,C,,,,,,,,,
98,Python,,,,,,,,,,,,
99,,,,,,,,,,,,,
100,,,,,,,,,,,,,
101,Python,,,,,,,,,,,,
102,Python,,,,,,,,,,,,
103,,,,,,,,,,,,,
104,Python,,,,,,,,,,,,Other
105,Python,,,,,,,,Swift,,,,
106,Python,,,,C++,,,,,,,,
107,Python,,SQL,C,C++,Java,Javascript,,,,,,Other
108,Python,R,SQL,,,,,Julia,,,,,
109,Python,,,,,,,Julia,,Bash,,,
110,Python,,,C,C++,Java,,,,,,,
111,Python,,,,,,,,,,,,
112,,,,,,,,,,,,,
113,Python,,,,,,,,,,,,
114,Python,R,,,,,,,,,,,
115,Python,R,SQL,,,,,,,,,,
116,,R,,,,,,,,,,,
117,,,,C,,Java,,,,,,,
118,Python,,,C,,Java,,,,,,,
119,Python,,,,,,,,,,MATLAB,,
120,Python,R,SQL,,,,,,,,,,
121,Python,,,,,Java,Javascript,,,,,,
122,Python,,,,,,Javascript,,,,,,
123,,,,,,,,,,,,,
124,Python,,SQL,,,,,,,,,,
125,Python,,,C,C++,,,,Swift,,,,Other
126,Python,,,,,,,,,,,,
127,Python,,,,,,,,,,,,
128,Python,,SQL,,,,,,,,,,
129,Python,,,,,,,,,,,,
130,Python,,,,,,Javascript,,,,,,
131,Python,,,,,,,,,,,,
132,,,,,,,,,,,,,
133,Python,R,SQL,,,Java,,,,,,,
134,Python,,,,,,Javascript,,,,,,
135,Python,,,,C++,,,,,,MATLAB,,
136,Python,,,,,,,,,,,,
137,Python,,SQL,,,,,,,,,,Other
138,Python,,SQL,,,Java,Javascript,Julia,,,,,
139,Python,R,,,,,,,,,,,
140,Python,,,,,,,,,,MATLAB,,
141,,,SQL,,,,,,,,,,
142,Python,,SQL,,,Java,Javascript,,,Bash,,,
143,Python,,,,,,,,,,,,
144,Python,,SQL,C,C++,Java,Javascript,,,Bash,,,Other
145,Python,R,,,,,,,,,,,
146,,,,,,,,,,,,,
147,Python,,SQL,,C++,,,,Swift,Bash,,,
148,,,SQL,,C++,,,,,,,,
149,Python,,,,,,,,,,,,
150,Python,R,,,,Java,,,,,,,
151,,,,,,,,,,,,,
152,Python,,SQL,C,C++,Java,Javascript,,,,,,
153,,,,,,,,,,,,,
154,Python,,,,,,,,,Bash,,,Other
155,,R,,,,,,,,,,,
156,Python,,SQL,,,,,,,,,,
157,,,,,,,,,,,,,
158,Python,,SQL,,,,,,,,,,
159,Python,,SQL,,,,,,,,MATLAB,,
160,Python,,SQL,,,,,,,,,,
161,Python,R,SQL,,C++,Java,Javascript,,,,MATLAB,,Other
162,,,,,,,,,,,,,
163,Python,,SQL,,,,,,,,,,
164,Python,,SQL,,,,,,,Bash,,,Other
165,Python,,,,,,,,,,,,
166,Python,,SQL,C,C++,Java,,,,,,,
167,Python,R,SQL,,,,,,,,,,
168,Python,R,SQL,,,,,,,,,,
169,Python,R,,,,,,,,,,,
170,Python,,,,,,,,,,,,
171,Python,,,,,,,,,,,,
172,,,,,,,,,,,,,
173,Python,R,SQL,C,C++,Java,Javascript,,,,MATLAB,,
174,Python,,SQL,C,C++,Java,,,,Bash,,,Other
175,,R,SQL,,,,,,,,,,
176,Python,,,,,,,,,,,,
177,Python,,,C,C++,,,,,,MATLAB,,
178,Python,R,SQL,,C++,,Javascript,,,Bash,,,
179,Python,,,C,C++,Java,Javascript,,,,,,
180,Python,,,,,,,,,,,,
181,,,,,C++,,,,,,MATLAB,,
182,Python,,,C,,,,,,,,,
183,Python,,SQL,,,Java,,,,,,,
184,Python,R,,C,,,,,,,,,
185,Python,,,,C++,,,,,,,,
186,Python,,,C,C++,,,,,,,,
187,Python,,,,C++,,Javascript,,Swift,,,,
188,Python,,SQL,,,,,,,,,,
189,Python,,,,,,Javascript,,,,,,
190,Python,,SQL,C,C++,Java,,,,,MATLAB,,
191,Python,,,,,,Javascript,,,,MATLAB,,
192,Python,R,SQL,,C++,Java,Javascript,,Swift,,,,
193,Python,,SQL,,,Java,Javascript,Julia,,,,,
194,Python,,SQL,,,Java,,,,Bash,MATLAB,,
195,Python,,SQL,,,,Javascript,,,,,,
196,Python,,SQL,,,,,,,,,,
197,Python,R,SQL,,,,,,,,,,
198,Python,,,,,,,,,,,,
199,Python,,,,,,,,,,,,
200,Python,R,,,,,,,,,,,
201,,,,,,,,,,,,,
202,Python,R,,C,C++,,,,,,,,
203,Python,,,C,,Java,,,,,,,
204,Python,,,,,,,,,,,,
205,Python,R,,,,,,,,,,,Other
206,Python,R,,,,,,,,,,,
207,Python,,,,C++,,,,,,,,
208,,,,,,,,,,,,,
209,Python,,SQL,,,,,,,,,,
210,Python,R,SQL,,,,,,,,,,
211,Python,R,,,,,,,,,,,
212,Python,,,,,,,,,,,,
213,Python,R,SQL,,,,,,,Bash,,,
214,Python,,,,,,,,,,,,
215,Python,,,,,,,,,,,,
216,Python,,,,,,,,,,,,
217,Python,,SQL,,,Java,Javascript,,,,,,
218,Python,,,,C++,,Javascript,,,,MATLAB,,
219,Python,,,,,,,,,,,,
220,Python,,,,,Java,,,,,MATLAB,,
221,Python,,SQL,,,Java,,,,,,,
222,Python,R,SQL,,,,,,,,,,
223,Python,,,,C++,,,,,,,,Other
224,Python,,,,C++,,,,,,,,
225,Python,,SQL,,,,,,,,,,
226,Python,,SQL,,,,,,,,MATLAB,,
227,Python,,SQL,C,,Java,Javascript,,,,,,
228,,R,,,,,,,,,,,
229,Python,,,,C++,Java,,,,,MATLAB,,
230,Python,,SQL,,C++,Java,,,,,,,
231,Python,,,,,,,,,,,,
232,Python,,,,,,,,,,,,
233,Python,,SQL,,,,,,,,,,
234,Python,R,SQL,,,,,,,,,,
235,Python,,,,C++,,Javascript,,,,,,
236,,,,,,,,,,,,,
237,,,SQL,,C++,,,,,,,,
238,Python,,SQL,,,,,,,,MATLAB,,
239,Python,,,,,,,,,,,,
240,Python,,SQL,,,,Javascript,,,,,,Other
241,,,,,,,,,,,,,
242,Python,R,SQL,,C++,Java,Javascript,,,,,,
243,Python,,,,,,,,,,,,
244,Python,R,,,,,,,,,,,
245,Python,,SQL,,,,Javascript,,,Bash,,,Other
246,Python,,SQL,,,,,,,,,,
247,Python,,,,C++,,,,,,,,
248,Python,,,,C++,,Javascript,,,Bash,,,
249,,,,,,,,,,,,,
250,Python,,,,,,,,,,,,
251,Python,R,,,,,,,,,MATLAB,,
252,Python,,,,,,,,,,,,Other
253,,,,,,,,,,,,,
254,Python,,SQL,,,Java,,,,,,,
255,Python,,SQL,,,,,,,,,,
256,Python,,,,,,,,,,,,
257,,,,,,,,,,,,,
258,,,,,,,,,,,,,
259,Python,R,,C,,,Javascript,,,,,,
260,Python,,SQL,C,C++,,,,,,,,
261,,,,,,,Javascript,,,,,,Other
262,Python,,,,,,,,,,,,
263,,,,,,,,,,,,,
264,Python,,,,,,,,,,,,
265,Python,,,,,,,,,,,,
266,Python,,SQL,,,Java,,,,Bash,,,
267,Python,,,,,,,,,,,,
268,Python,R,SQL,,,,,,,,,,
269,Python,,,C,C++,Java,,,,Bash,,,
270,Python,,,,C++,,,,,,,,
271,Python,,,,C++,,,,,,,,
272,Python,,SQL,,,,Javascript,,,,,,Other
273,Python,,,,,Java,,,,,,,
274,Python,R,,,,,,,,,,,
275,Python,R,SQL,C,C++,Java,,,,,,,
276,Python,,,,,,,,,,,,
277,Python,,SQL,,,,,,,,,,
278,Python,,SQL,,,,,,,Bash,,,
279,,,,,,Java,,,,,,,
280,Python,,SQL,,C++,,,,,,,,
281,,,,,,,,,,,,,
282,Python,,,C,C++,,,,,,,,
283,Python,,,C,C++,Java,Javascript,,,,MATLAB,,
284,,,,,,,,,,,,,
285,Python,,,,,Java,Javascript,,,,,,
286,Python,,,,,,,,,,,,
287,Python,,SQL,,,,,,,,,,Other
288,,,,,,,,,,,,,
289,,,SQL,C,C++,Java,,,,,,,
290,Python,,,,C++,,,,,,,,
291,Python,,,,,,,,,,,,
292,Python,,,,,,,,,,,,
293,Python,R,SQL,,,,,,,,,,Other
294,,,,,,,,,,,,None,
295,Python,,,,C++,,,,,,,,
296,Python,,,C,,Java,,,,,,,
297,Python,,SQL,,C++,,,,,,,,
298,Python,,SQL,,,,,,,,,,
299,Python,,,C,C++,,,,,,,,
300,Python,,,,,,,,,,,,
301,Python,,,C,,,,,,,MATLAB,,Other
302,Python,R,,,,,,,,,,,Other
303,Python,,,,,,,,,,,,
304,Python,,SQL,,,Java,Javascript,,,Bash,,,Other
305,Python,,,,,,,,,,,,
306,,,,,,,,,,,,,
307,Python,,SQL,,,,,,,,,,
308,,,,,,,,,,,,,
309,,,SQL,,,,,,,,,,
310,Python,R,SQL,,,,,,,,,,
311,Python,,SQL,,,,,,,Bash,,,
312,Python,,,,C++,,,,,,,,
313,Python,,,,,,,,,,,,
314,Python,,SQL,,,,Javascript,,,,,,
315,Python,R,,,,,,,,,,,
316,Python,R,,C,C++,,Javascript,,,Bash,,,
317,,,,,,,,,,,MATLAB,,
318,Python,,,,,,,,,,,,
319,,R,,,,,Javascript,,,,MATLAB,,
320,Python,,SQL,,C++,Java,Javascript,,,,,,
321,,,,,,,,,,,,,
322,Python,,,C,,,,,,,,,
323,Python,,,C,C++,,Javascript,,,,,,
324,Python,,,C,,Java,,,,,,,
325,Python,R,SQL,,,,,,,,,,
326,Python,,,,C++,,Javascript,,,,,,
327,,,,,,,,,,,,,
328,Python,,,,,,,,,,,,
329,Python,,SQL,,C++,Java,Javascript,,,,,,
330,Python,,,C,,Java,,,,Bash,,,
331,Python,,,,,,,,,,,,
332,Python,,,C,,Java,,,,,,,
333,Python,,,,,,,,,,,,
334,Python,,SQL,,C++,Java,Javascript,,,,,,
335,,,,,,,,,,,,,
336,,,,,,,,,,,,,
337,,,,,,,,,,,,,
338,Python,,,,C++,,,,,,,,
339,Python,,SQL,,,,,,,,,,
340,,,,,,,,,,,,,
341,Python,,SQL,,C++,,Javascript,,,,,,
342,Python,,SQL,C,,Java,,,,,,,
343,Python,,SQL,,,,,,,Bash,,,Other
344,,R,,,,,,,,,,,
345,Python,R,SQL,,C++,Java,,,,,,,
346,Python,,,,,,,,,,,,
347,Python,,,,,,Javascript,,,,,,
348,,,,,,,,,,,,,
349,Python,R,,,,,,,,,,,
350,Python,,,,,,,,,,,,
351,Python,,,C,C++,Java,,,,,MATLAB,,
352,Python,,,,,,,,,,,,
353,Python,,SQL,C,C++,,,,,Bash,MATLAB,,
354,Python,,,,,,,,,,,,
355,Python,,,,C++,,,,,,,,
356,Python,,SQL,,,,,,,,,,Other
357,Python,,,,,,,,,,,,
358,Python,,,,,,,,,,,,
359,Python,,SQL,C,C++,,,,,,MATLAB,,Other
360,Python,,SQL,,,,,,,,,,
361,Python,R,,,,,,,,,,,
362,Python,,,,,,,,,,MATLAB,,
363,Python,R,SQL,,C++,,,,,,,,
364,Python,,,,,,,,,,,,
365,Python,,,,,,,,,,,,
366,Python,,,C,,Java,,,,,,,
367,Python,R,SQL,,,,,,,Bash,,,
368,Python,,,,,,,,,,MATLAB,,
369,Python,,SQL,C,C++,Java,,,,,,,
370,,,,,,,,,,,,,
371,Python,,,,,,,,,,,,
372,Python,,,,C++,,,,,,MATLAB,,
373,Python,,SQL,,,,,,,,,,
374,Python,,,,C++,,,,,,,,
375,Python,,,,C++,,,,,,MATLAB,,
376,Python,R,SQL,,,,,,,,,,
377,Python,,SQL,,,,,Julia,,,,,
378,Python,R,,,,,,,,,,,
379,,R,,,,,,,,,,,
380,Python,,,C,C++,,,,,,MATLAB,,
381,,,,,,,,,,,,,
382,,,,,,,,,,,,,
383,Python,,,,,,,,,,,,
384,Python,,,,C++,,,,,,MATLAB,,
385,Python,,SQL,,,,,,,,,,
386,,,,,,,,,,,,,
387,,R,SQL,,,,,,,,,,Other
388,Python,,,,,Java,Javascript,,,Bash,,,
389,,,,,,,,,,,,,
390,Python,,,,,,,,,,,,Other
391,,,,,,,Javascript,,,,,,Other
392,Python,,SQL,C,C++,,,,,,,,
393,Python,,SQL,C,C++,Java,,,,,,,Other
394,Python,,,,C++,,,,,,,,
395,Python,,,,,,,,,,,,
396,,,,,,,,,,,,None,
397,Python,,,C,,,,,,,,,
398,Python,,,,,,,,,,,,
399,,R,SQL,,,,Javascript,,,,,,
400,Python,,,,,,,,,Bash,,,
401,Python,,SQL,C,C++,,Javascript,,,,MATLAB,,
402,,,,,,,,,,,,,
403,Python,,,,,,Javascript,,,,,,
404,Python,R,SQL,,,,,,,,,,
405,,,,,,,,,,,,,
406,Python,,SQL,,C++,,,,,,,,
407,Python,,,,,,,,,,,,
408,Python,,,,,,,,,,,,
409,Python,,,,C++,,Javascript,,,,,,
410,Python,,,,,Java,,,,,,,
411,,,,,,,,,,,MATLAB,,
412,Python,R,,,,,,,,,,,
413,Python,,,,,,,,,,,,
414,Python,,SQL,,C++,,,,,,,,
415,Python,,SQL,,,,,,,,,,
416,Python,,SQL,,,,,,,,,,
417,Python,,,,C++,,Javascript,,,,,,
418,,,,C,,Java,,,,,MATLAB,,
419,,,,,,,,,,,,,
420,,,,,,,,,,,,,
421,,,,,,,,,,,,,
422,Python,,,,,,,,,,,,
423,Python,,,,C++,Java,,,,,,,
424,Python,,,,,,,,,,,,
425,,,SQL,,,,,,,,,,
426,Python,,SQL,,,,,,,,,,
427,,,,,,,,,,,,,
428,Python,,,,,,,,,,,,
429,Python,R,SQL,,,,,,,,,,
430,Python,,SQL,,,,,,,,,,
431,,,,,,,Javascript,,,,,,
432,Python,,,,,,,,,,,,
433,Python,,,,C++,,,,,Bash,,,
434,,,,,,,,,,,,,
435,Python,,SQL,,,Java,,,,,,,
436,,R,SQL,,,,Javascript,,,,,,
437,Python,R,,,,,,,,,,,Other
438,Python,,,,,,,,,,,,
439,Python,,SQL,,,Java,,,,,,,
440,Python,R,SQL,,,,,,,,,,
441,,,,,,,,,,,,,
442,Python,R,,,,,,,,,,,
443,Python,,SQL,C,C++,Java,,,,Bash,,,
444,Python,,,C,,Java,,,,,MATLAB,,
445,Python,R,,,,,,,,,,,
446,Python,,SQL,,,Java,Javascript,,,Bash,,,
447,Python,,,,,,,,,,,,Other
448,Python,,,,,,Javascript,,,,,,
449,,,,,C++,,,,,,MATLAB,,
450,,,,,,,,,,,,,
451,Python,,SQL,,,,,,,,,,
452,,,,,,,,,,,,None,
453,Python,,,C,C++,,,,,,,,
454,Python,,SQL,,,,,,,,,,
455,Python,R,SQL,,,,,Julia,,Bash,,,Other
456,Python,,SQL,,,,Javascript,,,,,,
457,Python,R,SQL,,,,,,,,,,
458,Python,,SQL,C,,,,,,,,,
459,Python,,,,,,,,,,,,Other
460,Python,,,,,,,,,,,,
461,Python,,,,,,,,,,,,
462,Python,R,SQL,,,,,Julia,,Bash,,,
463,Python,,,,,,,,,,,,
464,,R,,,,,,,,,,,
465,Python,,,,C++,,,,,,,,
466,Python,,SQL,,,,,,,,,,
467,Python,,,,,,,,,,,,
468,Python,R,,,C++,,,,,,,,
469,Python,,,,,,,,,,MATLAB,,
470,Python,,,,,,,,,,,,
471,Python,,,C,C++,,,,,,,,
472,,,,,C++,,Javascript,,,,,,
473,Python,,,,,,,,,,,,
474,Python,,SQL,,,,,,,,,,
475,Python,,SQL,,,,,,,,,,
476,Python,,,,C++,,,,,,,,
477,Python,,,,,,,,,,,,
478,,,,,,,,,,,,,
479,,,SQL,,,,Javascript,,,,,,Other
480,Python,,,,,,,,,,,,
481,Python,,,C,,,,,,,,,
482,Python,,SQL,,,Java,Javascript,,,,,,
483,Python,,SQL,,,,Javascript,,,,,,
484,Python,R,SQL,,,,,,,,,,
485,Python,,SQL,,,,Javascript,,,,,,Other
486,Python,,SQL,,,,,,,,,,
487,Python,,,,C++,,,,,,MATLAB,,Other
488,Python,,SQL,,,Java,Javascript,,,,,,
489,,,,,,,,Julia,,,,,Other
490,Python,R,SQL,C,C++,Java,,,,,,,
491,Python,,SQL,,,,,,,,,,
492,Python,R,,C,,Java,,,,,MATLAB,,
493,Python,,,,,,,,,,,,
494,Python,,,C,C++,,Javascript,,,,,,
495,,R,,,,,,,,,,,
496,,,,,,,,,,,,,
497,Python,,SQL,,C++,,,,,,,,
498,,,SQL,,,,,,,,,,
499,,,,,,Java,,,,,,,
500,Python,R,SQL,,,,,,,,,,
501,Python,,,,C++,,,,,,,,
502,Python,,SQL,C,,,Javascript,,,,,,
503,Python,R,SQL,,,,,,,,,,
504,Python,R,SQL,,,,,,,,,,
505,Python,,,,,,,,,,,,
506,Python,R,SQL,,,,Javascript,,,,,,
507,Python,,SQL,,,,,,,,,,
508,Python,R,,,,,,,,,,,
509,Python,,,,C++,,,,,,MATLAB,,
510,Python,,,C,C++,,,,,,,,
511,,,,,,,,,,,,,
512,Python,,SQL,,,,,,,,,,
513,Python,,SQL,,,Java,,,,,,,
514,Python,,SQL,,,,,,,,,,
515,Python,,,,,,,,,,,,
516,,,SQL,,,Java,Javascript,,,,,,
517,Python,,,,,,,,,,,,
518,Python,,SQL,,,,,,,,,,
519,Python,,,,,,,,,,MATLAB,,
520,Python,,,,,,,,,,,,
521,Python,R,,,,,,,,,MATLAB,,
522,Python,,,,,Java,,,,,,,
523,Python,,SQL,,,,,,,,MATLAB,,
524,Python,,,C,,Java,,,,,,,
525,Python,,SQL,C,C++,Java,,,,,,,
526,Python,,,C,C++,,Javascript,,,,MATLAB,,
527,,,SQL,,,,,,,,,,
528,Python,R,,,,,,,,,,,
529,Python,R,SQL,,,,,,,,,,
530,Python,R,SQL,,,,,,,,,,
531,Python,,SQL,,,,,,,,,,
532,Python,R,SQL,,,,,,,,,,Other
533,Python,,,,,,,,,,,,
534,,,,,,,,,,,,,Other
535,Python,,SQL,,,,,,,,,,
536,Python,,,,,Java,,,,,,,
537,,,,,,,,,,,,,
538,Python,,SQL,,,,,,,,,,
539,Python,,SQL,,,,,,,,,,
540,Python,,,,,,,,,,,,
541,Python,,,,,,,,,,,,
542,Python,,,,,Java,,,,Bash,,,
543,,,SQL,,,,,,,,,,
544,Python,,,,,,,,,,,,
545,,,SQL,,,,,,,,,,
546,,,SQL,,,,Javascript,,,,,,
547,Python,R,SQL,,,,,,,Bash,,,
548,Python,,,,,Java,,,,,,,
549,Python,R,SQL,,,,,,,,,,
550,Python,,,,,,,,,,,,
551,,,,C,,,,,,,MATLAB,,
552,Python,,SQL,,C++,,,,,Bash,MATLAB,,
553,,,,,,,,,,,,,
554,Python,,,,,,,,,,,,
555,Python,,SQL,,C++,,,,,,,,
556,Python,,,,,,,,,,,,
557,Python,R,,,,,,,,,,,
558,Python,,,,,,,,,,,,
559,Python,,SQL,C,C++,Java,Javascript,,,,,,
560,Python,,,,,,,,,,,,
561,Python,R,SQL,,,Java,Javascript,,,,,,
562,,R,,,,,,,,,,,
563,Python,,SQL,,,,Javascript,,,,MATLAB,,
564,,,,,,,,,,,,,
565,Python,,SQL,C,C++,Java,Javascript,,,,MATLAB,,
566,Python,,SQL,,,Java,,,,,,,
567,,,,,,,,,,,,,Other
568,Python,,SQL,,C++,Java,,,,,,,
569,,,,,,,,,,,,,
570,Python,,,,,Java,,,,,,,
571,Python,,SQL,,,,,,,Bash,,,
572,Python,,SQL,,,,Javascript,,,,,,
573,Python,,SQL,,,,,,,,,,
574,Python,R,,,,,,,,,,,
575,Python,,,,,,,,,,,,
576,Python,,SQL,,,,,,,,,,
577,Python,,,,,,,,,,,,
578,Python,,,,,,,,,,,,
579,Python,,,,C++,,,,,,,,
580,,,,,,Java,,,,,,,
581,Python,,SQL,,,,,,,,,,
582,Python,,,,,,,,,,,,
583,Python,R,SQL,,,,,,,,,,
584,Python,,,C,C++,,,,,,MATLAB,,
585,,,,,,,,,,,,None,
586,Python,,SQL,,,,,,,,,,
587,Python,,SQL,C,C++,,,,,,,,
588,Python,,,,,,,,,,,,Other
589,Python,,,,,,,,,Bash,,,
590,Python,,,,,Java,,,,,MATLAB,,
591,Python,,SQL,,,,,,,,,,
592,Python,R,SQL,,C++,Java,,,,Bash,,,
593,Python,,SQL,C,,,Javascript,,,,,,
594,Python,,SQL,,,,,,,,,,
595,Python,,,,,,,,,,,,Other
596,,,,,,,,,,,,,
597,Python,R,,,,,,,,,,,
598,Python,,,,,,,,,,,,
599,Python,,,,,,,,,,,,
600,Python,,SQL,,,,Javascript,,,,,,Other
601,Python,,,,,,,,,,,,
602,Python,,,C,,Java,,,,,,,
603,Python,,,C,,,Javascript,,,,,,
604,Python,,,,,,,,,,,,
605,Python,,SQL,,,,,,,,,,
606,Python,,SQL,,,,,,,,,,
607,Python,R,,C,C++,,,,,Bash,MATLAB,,
608,Python,,SQL,,,,Javascript,,,,,,
609,,,,,,Java,,,,,MATLAB,,
610,,,,,,,,,,,,,
611,,,,,,,,,,,,None,
612,Python,,,,,,,,,,,,
613,Python,,,,,,,,,,,,
614,Python,R,,,,,,,,,,,
615,Python,,,,,,,,,,,,
616,Python,,,,,,,,,,,,
617,Python,,,,,,,,,,,,
618,Python,,,,,,,,,,,,
619,Python,,,C,C++,,,,,Bash,,,
620,Python,,,C,,,,,,,,,
621,,,,,,,,,,,,,
622,,,,,,,,,,,MATLAB,,
623,Python,,,,,,Javascript,,,Bash,,,
624,,,,C,C++,Java,,,,,,,
625,Python,,SQL,,C++,,Javascript,,,,,,Other
626,Python,R,SQL,,,Java,,,Swift,,,,
627,Python,R,,,,,,,,,,,
628,Python,R,SQL,,,,,,,,,,Other
629,,,,,,,,,,,,,
630,Python,R,SQL,,,,,,,,,,
631,Python,,,C,C++,,,,,,MATLAB,,
632,,,,,,,Javascript,,,,,,
633,,R,SQL,,,,,,,,,,
634,Python,,,,,Java,,,,,,,
635,Python,,,,,,Javascript,,,,,,
636,Python,,SQL,,C++,,Javascript,,,,,,
637,Python,R,SQL,C,C++,,,,,,,,
638,Python,,SQL,C,C++,,,,,,,,
639,Python,,,,C++,,,,,,,,
640,,,SQL,,,,,,,,,,
641,Python,,SQL,,,Java,,,,,,,
642,Python,,,,,,,,,,,,
643,Python,,SQL,,,,,,,,,,
644,Python,,SQL,,C++,Java,,,,,,,
645,,,,,,,,,,,,,
646,Python,,,C,C++,,,,,,MATLAB,,
647,Python,,,,,,,,,,,,
648,Python,R,SQL,C,,,,Julia,,Bash,,,
649,Python,,SQL,,,,,,,,,,
650,,,,,,,,,,,,,
651,Python,,,,C++,,,,,,,,
652,Python,,,,,,,,,,,,
653,Python,,SQL,,C++,,,,,Bash,,,
654,Python,,,,,,,,,,,,Other
655,Python,,SQL,,,,,,,,,,
656,Python,,,,,,,,,,,,
657,Python,R,,,,,,,,,,,
658,Python,,,,,,,,,,,,
659,Python,,SQL,,,,,,,,,,
660,Python,,SQL,,,,,,,Bash,,,
661,Python,,SQL,,,,,,,,,,
662,Python,,,C,C++,,,,,,,,
663,Python,,,,,,,,,,,,
664,Python,,,,,,,,,,,,
665,,,,,,,,,,,,,
666,Python,,SQL,,,,,,,Bash,MATLAB,,Other
667,Python,,,,,,,,,,,,
668,,,SQL,,,,,,,,,,Other
669,Python,R,SQL,C,C++,Java,,,,,,,
670,Python,,,,,,,,,,,,
671,,,,,,,,,,,,,
672,,,,,,,,,,,,,
673,Python,,SQL,,,,,,,,,,
674,,,,,,,Javascript,,,,,,
675,Python,,SQL,C,,Java,Javascript,,,,,,
676,Python,R,SQL,,,,,,,Bash,,,
677,,,,,,,,,,,,,
678,,R,,,,,,,,,,,Other
